state_fips,place_fips,name,state,lat,lng
01,59832,Pinckard town,AL,31.318989,-85.537836
01,59880,Pine Apple town,AL,31.872155,-86.989059
01,60240,Pine Hill town,AL,31.985884,-87.587516
01,60264,Pine Level CDP,AL,32.579539,-86.454318
01,60372,Pine Ridge town,AL,34.447915,-85.783831
01,60648,Pinson city,AL,33.709262,-86.663613
01,60720,Pisgah town,AL,34.684366,-85.84601
01,61008,Pleasant Grove city,AL,33.493967,-86.97815
01,61038,Pleasant Groves town,AL,34.737619,-86.197637
01,61488,Point Clear CDP,AL,30.486112,-87.911132
01,61536,Pollard town,AL,31.023877,-87.172978
01,62075,Powell town,AL,34.532588,-85.897553
01,62328,Prattville city,AL,32.449041,-86.449401
01,62472,Priceville town,AL,34.529583,-86.882177
01,62496,Prichard city,AL,30.773337,-88.131416
01,62688,Providence town,AL,32.342386,-87.776115
01,62952,Putnam CDP,AL,32.018084,-88.033057
01,63216,Ragland town,AL,33.748325,-86.135927
01,63288,Rainbow City city,AL,33.928777,-86.084228
01,63336,Rainsville city,AL,34.494364,-85.836505
01,63408,Ranburne town,AL,33.525853,-85.339013
01,63495,Ray CDP,AL,32.868141,-86.045252
01,63576,Red Bay city,AL,34.436097,-88.136515
01,63730,Redland CDP,AL,32.481426,-86.143759
01,63768,Red Level town,AL,31.406711,-86.606217
01,63912,Redstone Arsenal CDP,AL,34.687763,-86.661172
01,63984,Reece City town,AL,34.077241,-86.034498
01,64040,Reeltown CDP,AL,32.574211,-85.819562
01,64104,Reform town,AL,33.37826,-88.017273
01,64152,Rehobeth town,AL,31.124507,-85.439607
01,64248,Remlap CDP,AL,33.806972,-86.593941
01,64368,Repton town,AL,31.409716,-87.238931
01,64656,Ridgeville town,AL,34.056929,-86.102874
01,64776,River Falls town,AL,31.352397,-86.544609
01,64920,Riverside city,AL,33.616394,-86.204357
01,65016,Riverview town,AL,31.06126,-87.077531
01,65040,Roanoke city,AL,33.145305,-85.369526
01,65208,Robertsdale city,AL,30.557139,-87.704723
01,65412,Rock Creek CDP,AL,33.477227,-87.081249
01,65472,Rockford town,AL,32.896866,-86.208346
01,65592,Rock Mills CDP,AL,33.15994,-85.28107
01,65784,Rockville CDP,AL,31.405776,-87.844212
01,66216,Rogersville town,AL,34.827714,-87.284092
01,66408,Rosa town,AL,33.992756,-86.500325
01,67056,Russellville city,AL,34.505719,-87.728123
01,67176,Rutledge town,AL,31.724072,-86.302008
01,67536,St. Florian town,AL,34.874098,-87.623736
01,67584,St. Stephens CDP,AL,31.571111,-88.052834
01,67608,Saks CDP,AL,33.711401,-85.853698
01,67800,Samson city,AL,31.112417,-86.046735
01,67920,Sand Rock town,AL,34.231228,-85.770416
01,68016,Sanford town,AL,31.298819,-86.398848
01,68160,Saraland city,AL,30.854566,-88.109842
01,68280,Sardis City town,AL,34.172413,-86.119104
01,68352,Satsuma city,AL,30.857874,-88.063383
01,68736,Scottsboro city,AL,34.64462,-86.048155
01,69000,Section town,AL,34.581644,-85.984942
01,69120,Selma city,AL,32.416983,-87.035702
01,69180,Selmont-West Selmont CDP,AL,32.378253,-87.006888
01,69240,Semmes city,AL,30.796223,-88.24759
01,69648,Sheffield city,AL,34.757019,-87.697085
01,69672,Shelby CDP,AL,33.106882,-86.585403
01,69840,Shiloh town,AL,34.462666,-85.877617
01,69978,Shoal Creek CDP,AL,33.430763,-86.610925
01,70128,Shorter town,AL,32.411501,-85.972808
01,70416,Silas town,AL,31.767802,-88.325923
01,70536,Silverhill town,AL,30.545359,-87.750557
01,70632,Sims Chapel CDP,AL,31.249255,-88.142971
01,70704,Sipsey town,AL,33.822119,-87.082918
01,70896,Skyline town,AL,34.798524,-86.12243
01,71040,Slocomb city,AL,31.112126,-85.59866
01,71190,Smiths Station city,AL,32.522852,-85.099425
01,71201,Smoke Rise CDP,AL,33.879942,-86.824683
01,71280,Snead town,AL,34.116228,-86.390916
01,71496,Somerville town,AL,34.467053,-86.791203
01,71832,Southside city,AL,33.890841,-86.01802
01,71900,South Vinemont town,AL,34.235567,-86.863965
01,71976,Spanish Fort city,AL,30.722968,-87.865917
01,72408,Spring Garden CDP,AL,33.972965,-85.555756
01,72600,Springville city,AL,33.74052,-86.484086
01,72672,Spruce Pine CDP,AL,34.39287,-87.729597
01,72720,Standing Rock CDP,AL,33.08569,-85.239849
01,72816,Stapleton CDP,AL,30.735558,-87.797727
01,72888,Steele town,AL,33.941378,-86.192107
01,73056,Sterrett CDP,AL,33.442198,-86.461045
01,73080,Stevenson city,AL,34.876797,-85.81435
01,73152,Stewartville CDP,AL,33.075532,-86.260693
01,73272,Stockton CDP,AL,31.001245,-87.873929
01,73728,Sulligent city,AL,33.891189,-88.126633
01,73848,Sumiton city,AL,33.749269,-87.046903
01,73872,Summerdale town,AL,30.476741,-87.687561
01,74160,Susan Moore town,AL,34.091999,-86.434156
01,74304,Sweet Water town,AL,32.104614,-87.861889
01,74352,Sylacauga city,AL,33.18867,-86.274799
01,74400,Sylvania town,AL,34.562039,-85.804722
01,74424,Sylvan Springs town,AL,33.530194,-87.031158
01,74592,Talladega city,AL,33.431757,-86.099454
01,74616,Talladega Springs town,AL,33.120452,-86.437761
01,74688,Tallassee city,AL,32.532665,-85.891993
01,74976,Tarrant city,AL,33.592897,-86.766253
01,75096,Taylor town,AL,31.168811,-85.47579
